GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Salary
3.46,Mid-tier,Arts,West,2,0,3,Medium,Handshake,5,15,2,1,72585.0
3.96,Lower-tier,Arts,West,1,1,1,Large,Indeed,3,37,2,1,64146.0
3.55,Mid-tier,STEM,Midwest,1,2,3,Medium,LinkedIn,11,34,2,1,104054.0
3.88,Lower-tier,Business,Midwest,0,2,2,Large,LinkedIn,1,10,2,2,69419.0
2.92,Mid-tier,Healthcare,West,3,5,2,Large,Handshake,10,21,2,2,80753.0
3.15,Top-tier,Business,Midwest,1,0,1,Medium,Handshake,12,56,2,2,69162.0
2.87,Top-tier,Business,Midwest,4,2,2,Large,LinkedIn,7,78,4,1,99769.0
3.09,Top-tier,Humanities,West,4,1,2,Large,Indeed,9,142,8,2,86543.0
2.79,Top-tier,STEM,South,2,0,3,Small,Handshake,2,11,2,1,91194.0
3.59,Lower-tier,STEM,South,0,0,4,Large,Handshake,5,44,2,2,77388.0
3.19,Mid-tier,Business,West,0,0,1,Large,Handshake,12,60,2,2,67374.0
3.75,Lower-tier,STEM,South,2,5,2,Small,Handshake,4,15,2,1,83455.0
3.11,Mid-tier,Business,West,3,2,5,Medium,Handshake,8,46,3,1,83331.0
3.11,Lower-tier,Healthcare,Northeast,0,4,5,Large,Handshake,7,53,3,3,54834.0
3.14,Mid-tier,Healthcare,South,2,1,2,Medium,LinkedIn,4,23,2,1,63733.0
3.0,Top-tier,Healthcare,Northeast,4,3,4,Medium,LinkedIn,9,49,3,3,93584.0
3.32,Lower-tier,STEM,South,1,5,4,Large,LinkedIn,7,63,4,4,81775.0
2.93,Top-tier,Arts,Northeast,2,0,5,Medium,Handshake,6,41,2,2,59948.0
3.24,Mid-tier,Humanities,Midwest,3,4,3,Medium,Handshake,8,62,2,2,64144.0
3.08,Mid-tier,Humanities,West,0,1,3,Small,Indeed,4,82,2,1,58587.0
3.6,Lower-tier,STEM,Northeast,1,2,2,Medium,Handshake,6,27,2,2,77967.0
2.93,Lower-tier,Humanities,South,0,3,1,Medium,Handshake,4,9,2,1,56183.0
3.17,Lower-tier,Arts,Northeast,1,1,3,Medium,LinkedIn,2,15,2,2,69394.0
3.57,Mid-tier,Business,Midwest,3,0,2,Small,LinkedIn,11,135,3,3,86201.0
3.02,Mid-tier,STEM,Midwest,2,4,3,Small,Handshake,11,49,2,1,81839.0
3.16,Mid-tier,STEM,Midwest,2,2,3,Small,Handshake,4,26,2,2,86490.0
2.93,Mid-tier,STEM,South,1,1,4,Large,Handshake,2,5,2,1,71227.0
3.73,Lower-tier,Healthcare,South,2,1,2,Medium,Indeed,12,126,2,1,54740.0
3.34,Lower-tier,Humanities,West,1,2,1,Medium,Handshake,6,48,2,2,54620.0
3.44,Mid-tier,Business,Northeast,2,3,5,Large,LinkedIn,7,37,2,2,87150.0
3.41,Mid-tier,STEM,Midwest,2,1,3,Large,LinkedIn,6,12,2,1,83922.0
3.49,Mid-tier,Business,West,2,1,4,Large,LinkedIn,11,89,3,3,84839.0
4.0,Mid-tier,Humanities,Midwest,0,1,5,Medium,Indeed,10,101,5,2,52773.0
3.01,Lower-tier,STEM,West,3,2,4,Large,Indeed,2,23,2,2,75687.0
3.09,Mid-tier,Healthcare,West,1,0,5,Small,Indeed,9,12,2,2,43084.0
3.05,Mid-tier,Healthcare,South,1,1,0,Small,Handshake,5,5,2,1,60407.0
3.29,Lower-tier,Business,West,3,2,2,Medium,LinkedIn,12,148,4,1,75233.0
3.61,Lower-tier,STEM,South,3,4,5,Large,Indeed,2,16,2,2,91672.0
3.34,Top-tier,Healthcare,Midwest,0,3,5,Medium,LinkedIn,3,28,2,2,65089.0
3.33,Mid-tier,Business,South,1,1,1,Large,LinkedIn,3,29,2,1,69397.0
3.02,Mid-tier,STEM,West,2,1,1,Medium,LinkedIn,7,53,2,2,80637.0
3.45,Mid-tier,STEM,South,1,1,3,Medium,Handshake,11,91,4,4,84994.0
3.52,Mid-tier,Arts,West,2,4,3,Medium,Handshake,11,56,2,2,71052.0
2.64,Lower-tier,STEM,Northeast,0,1,7,Medium,Indeed,7,53,2,1,77185.0
3.69,Lower-tier,Healthcare,Northeast,3,1,1,Large,Handshake,7,43,2,2,76212.0
3.99,Lower-tier,STEM,Northeast,1,4,2,Large,Handshake,5,22,2,1,82631.0
3.71,Mid-tier,Healthcare,West,0,6,2,Medium,Indeed,7,95,2,1,64552.0
3.71,Mid-tier,Business,Midwest,1,3,4,Medium,Indeed,1,11,2,1,74234.0
4.0,Mid-tier,Business,Midwest,0,3,2,Medium,LinkedIn,6,32,2,1,89501.0
4.0,Mid-tier,Business,Northeast,0,6,1,Medium,LinkedIn,7,72,2,2,79610.0
3.38,Mid-tier,Arts,South,1,5,1,Large,Handshake,3,14,2,1,77126.0
2.11,Mid-tier,STEM,West,2,2,7,Small,Handshake,8,41,2,1,59905.0
3.04,Mid-tier,Business,South,0,4,2,Medium,LinkedIn,10,103,5,5,75912.0
2.79,Mid-tier,STEM,Midwest,2,2,7,Large,Handshake,1,5,2,2,90567.0
3.89,Top-tier,Arts,Northeast,2,2,3,Small,Handshake,1,5,2,2,92202.0
2.82,Lower-tier,STEM,Midwest,2,1,3,Medium,Handshake,6,52,2,1,79537.0
3.02,Mid-tier,STEM,West,0,1,2,Small,Handshake,10,58,2,2,69470.0
3.31,Mid-tier,STEM,West,3,2,6,Medium,LinkedIn,1,11,2,1,109475.0
3.8,Lower-tier,Business,West,0,3,4,Large,Handshake,9,28,2,1,73297.0
3.35,Mid-tier,STEM,Midwest,2,4,7,Large,Indeed,7,113,2,1,103801.0
3.64,Lower-tier,STEM,Northeast,2,2,4,Large,Indeed,12,246,2,2,85745.0
4.0,Mid-tier,Business,Midwest,0,2,1,Medium,LinkedIn,3,20,2,2,76445.0
3.63,Top-tier,Business,West,2,1,1,Large,Handshake,4,19,2,1,88701.0
3.54,Lower-tier,STEM,South,0,1,2,Medium,LinkedIn,3,24,2,1,88005.0
2.66,Mid-tier,Business,South,0,2,6,Medium,Handshake,6,29,2,1,63900.0
3.24,Lower-tier,Healthcare,South,0,0,3,Large,Indeed,8,137,4,3,48796.0
3.26,Mid-tier,STEM,South,2,2,3,Small,LinkedIn,12,72,4,2,78129.0
3.56,Mid-tier,STEM,Northeast,1,4,5,Medium,Handshake,6,15,2,1,84740.0
3.78,Top-tier,Healthcare,Northeast,3,4,3,Small,LinkedIn,11,99,2,1,81411.0
2.64,Lower-tier,STEM,Midwest,2,4,4,Medium,Handshake,3,23,2,1,83487.0
2.95,Mid-tier,Healthcare,South,1,1,1,Large,Handshake,12,90,3,1,50840.0
3.0,Top-tier,Humanities,South,2,0,1,Small,Indeed,2,58,2,1,59047.0
3.2,Lower-tier,Humanities,West,0,2,1,Large,Indeed,4,74,4,2,51416.0
3.74,Mid-tier,Business,South,0,0,5,Medium,Handshake,8,100,3,3,64066.0
3.32,Lower-tier,Arts,West,1,2,2,Medium,Handshake,7,44,2,2,56662.0
2.95,Mid-tier,Humanities,West,1,1,2,Medium,Indeed,10,178,7,2,57267.0
3.66,Mid-tier,Business,Northeast,1,3,3,Medium,Handshake,3,17,2,1,78074.0
2.93,Lower-tier,Business,West,1,1,6,Small,LinkedIn,4,5,2,2,81452.0
4.0,Lower-tier,Business,West,0,1,5,Large,LinkedIn,2,18,2,2,70459.0
3.24,Top-tier,STEM,Midwest,3,2,2,Medium,Indeed,7,32,2,1,90144.0
3.53,Mid-tier,STEM,South,1,3,2,Large,LinkedIn,11,165,9,2,78452.0
3.11,Lower-tier,Healthcare,Midwest,0,0,4,Medium,Handshake,1,5,2,1,49435.0
2.89,Mid-tier,Business,Northeast,3,2,1,Medium,LinkedIn,6,30,2,2,94355.0
2.87,Mid-tier,Business,Northeast,2,2,4,Medium,LinkedIn,9,103,6,2,77912.0
3.22,Lower-tier,STEM,Midwest,1,1,1,Medium,Handshake,3,15,2,2,88728.0
2.43,Mid-tier,STEM,West,4,2,5,Large,Handshake,11,45,2,1,92528.0
3.85,Mid-tier,Business,Northeast,1,2,2,Large,LinkedIn,7,59,3,3,88051.0
3.39,Mid-tier,Business,Midwest,3,1,6,Large,LinkedIn,11,73,3,2,88280.0
3.54,Lower-tier,Humanities,Midwest,2,2,4,Small,Handshake,12,74,4,4,60687.0
3.46,Mid-tier,Business,West,0,1,1,Medium,Handshake,2,15,2,1,50848.0
3.06,Lower-tier,STEM,West,1,0,2,Medium,Handshake,2,11,2,2,74735.0
3.04,Lower-tier,Humanities,West,1,0,1,Large,Handshake,7,84,4,4,53510.0
3.54,Lower-tier,Humanities,West,0,0,5,Medium,LinkedIn,10,36,2,2,63713.0
2.99,Mid-tier,Business,Midwest,2,1,2,Small,LinkedIn,5,41,2,1,91948.0
3.26,Lower-tier,STEM,South,0,4,3,Large,LinkedIn,6,37,2,2,82523.0
2.65,Top-tier,Business,West,1,0,6,Medium,LinkedIn,7,61,3,3,91661.0
3.78,Lower-tier,Humanities,South,2,1,5,Large,Handshake,4,25,2,1,70284.0
3.49,Mid-tier,STEM,West,0,1,5,Large,Handshake,2,12,2,1,79679.0
3.31,Mid-tier,STEM,West,1,3,1,Large,LinkedIn,6,72,2,2,76030.0
3.61,Mid-tier,Business,Northeast,0,5,3,Large,LinkedIn,3,32,2,1,81931.0
3.94,Mid-tier,Business,West,1,0,2,Small,Indeed,7,72,4,4,66125.0
3.68,Mid-tier,STEM,Midwest,2,2,0,Small,LinkedIn,5,28,2,2,76944.0
2.97,Top-tier,Business,Midwest,2,1,2,Medium,LinkedIn,6,74,3,3,94630.0
3.54,Mid-tier,STEM,South,1,3,3,Medium,Handshake,1,6,2,1,84405.0
3.26,Top-tier,STEM,Northeast,1,1,4,Medium,Handshake,12,50,3,3,88740.0
3.32,Lower-tier,Business,Northeast,0,4,3,Large,Handshake,9,85,3,1,65979.0
