GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received,Offer_Salary
3.57,Mid-tier,STEM,South,0,0,0,Small,Handshake,2,17,1,0,,
3.03,Lower-tier,Business,South,2,0,1,Medium,LinkedIn,1,5,2,1,,
4.0,Lower-tier,Humanities,South,2,1,1,Medium,LinkedIn,1,12,2,2,,
3.3,Mid-tier,STEM,South,2,4,4,Medium,Handshake,10,50,3,1,,
3.13,Mid-tier,Business,South,1,0,0,Medium,LinkedIn,2,15,2,0,,
3.07,Mid-tier,Business,Midwest,1,4,2,Medium,LinkedIn,8,120,5,0,,
3.13,Mid-tier,Humanities,Midwest,2,4,5,Large,Handshake,2,5,4,2,,
3.04,Mid-tier,Business,South,0,1,4,Large,Indeed,7,82,1,0,,
3.7,Mid-tier,Humanities,Northeast,2,1,3,Large,LinkedIn,12,150,3,2,,
3.36,Mid-tier,STEM,South,0,1,2,Large,Handshake,12,86,8,2,,
3.22,Lower-tier,Humanities,South,0,3,2,Small,Handshake,9,21,2,1,,
2.61,Top-tier,STEM,Midwest,0,1,4,Medium,LinkedIn,7,23,1,1,,
2.78,Mid-tier,STEM,Northeast,1,2,2,Large,Indeed,6,74,4,4,,
2.55,Top-tier,STEM,South,3,6,5,Medium,Handshake,11,49,2,1,,
2.77,Mid-tier,STEM,West,1,2,3,Large,Indeed,3,34,1,0,,
2.6,Lower-tier,Healthcare,West,0,4,1,Small,Handshake,4,20,4,1,,
3.66,Mid-tier,Healthcare,Midwest,1,2,4,Small,LinkedIn,9,81,2,0,,
2.42,Mid-tier,Healthcare,Midwest,1,4,6,Medium,Handshake,6,11,0,0,,
3.4,Mid-tier,STEM,Northeast,1,2,2,Medium,Handshake,1,5,0,0,,
3.59,Lower-tier,Business,Midwest,3,1,2,Small,LinkedIn,6,59,2,1,,
3.61,Lower-tier,Humanities,South,3,4,4,Medium,Indeed,3,25,0,0,,
2.9,Mid-tier,Arts,West,0,3,0,Medium,Indeed,2,25,1,0,,
3.68,Lower-tier,Business,West,0,2,6,Large,Handshake,8,22,3,2,,
2.79,Mid-tier,STEM,West,2,3,0,Large,LinkedIn,9,79,2,0,,
3.09,Mid-tier,Business,Midwest,0,3,3,Large,LinkedIn,8,52,1,1,,
2.65,Mid-tier,Humanities,Midwest,0,1,2,Medium,Indeed,3,39,1,0,,
3.07,Mid-tier,Humanities,South,3,3,4,Large,LinkedIn,1,8,0,0,,
3.57,Top-tier,Healthcare,Northeast,1,2,3,Medium,LinkedIn,2,19,2,1,,
3.18,Mid-tier,Business,South,0,3,2,Large,Indeed,3,33,0,0,,
3.48,Lower-tier,Healthcare,South,3,1,1,Medium,LinkedIn,8,94,2,0,,
3.78,Lower-tier,Healthcare,Midwest,1,0,3,Medium,Handshake,6,32,2,2,,
3.45,Mid-tier,Humanities,Midwest,1,1,4,Medium,Handshake,2,5,1,0,,
2.64,Lower-tier,Humanities,West,0,2,1,Medium,Handshake,9,54,3,1,,
2.5,Mid-tier,Business,Northeast,0,3,2,Medium,LinkedIn,7,44,3,1,,
3.36,Mid-tier,STEM,Midwest,0,1,4,Large,Indeed,4,44,0,0,,
3.46,Lower-tier,STEM,South,0,2,4,Medium,LinkedIn,1,11,1,1,,
3.51,Lower-tier,STEM,Midwest,2,2,2,Medium,Indeed,8,97,0,0,,
2.55,Lower-tier,Business,South,1,0,6,Large,Handshake,6,5,0,0,,
3.45,Top-tier,Healthcare,West,1,3,2,Medium,LinkedIn,7,108,5,2,,
4.0,Top-tier,Healthcare,Northeast,2,2,3,Large,Handshake,1,6,0,0,,
3.2,Mid-tier,Business,West,1,1,6,Large,LinkedIn,3,35,0,0,,
3.31,Mid-tier,Business,South,1,2,5,Large,LinkedIn,11,155,5,2,,
3.33,Top-tier,STEM,Midwest,3,2,2,Large,LinkedIn,2,15,2,1,,
2.38,Mid-tier,Arts,South,1,3,4,Small,Indeed,1,21,1,0,,
3.3,Mid-tier,Healthcare,West,0,3,3,Large,LinkedIn,10,105,1,1,,
3.25,Mid-tier,Humanities,Midwest,0,1,4,Medium,LinkedIn,7,92,4,4,,
3.33,Top-tier,STEM,Northeast,1,2,6,Large,LinkedIn,4,22,1,0,,
3.05,Lower-tier,STEM,West,2,1,6,Large,Indeed,2,37,2,1,,
2.98,Mid-tier,Healthcare,South,0,4,2,Large,Handshake,8,46,7,1,,
3.33,Mid-tier,Healthcare,Midwest,3,3,0,Small,LinkedIn,5,40,3,3,,
3.03,Lower-tier,STEM,Northeast,0,3,4,Large,Handshake,7,36,0,0,,
3.59,Mid-tier,Business,South,1,3,8,Medium,Indeed,11,221,1,1,,
3.07,Mid-tier,Business,South,1,3,3,Large,Handshake,1,5,0,0,,
3.21,Mid-tier,STEM,Northeast,0,0,6,Medium,LinkedIn,11,67,1,0,,
3.23,Lower-tier,Business,Midwest,1,4,3,Medium,Handshake,6,30,2,1,,
3.16,Lower-tier,Humanities,Northeast,2,4,2,Medium,LinkedIn,4,26,1,0,,
2.85,Lower-tier,Business,Midwest,0,1,8,Small,Handshake,8,26,2,2,,
4.0,Mid-tier,STEM,West,3,1,7,Large,Indeed,4,77,4,3,,
2.85,Lower-tier,Healthcare,South,3,2,2,Medium,Handshake,7,49,2,2,,
3.31,Mid-tier,STEM,Midwest,2,2,3,Large,Handshake,2,7,0,0,,
3.25,Lower-tier,Business,West,2,1,3,Large,LinkedIn,4,8,1,0,,
3.76,Top-tier,Arts,South,0,1,2,Large,Indeed,7,106,4,1,,
3.46,Lower-tier,Business,Midwest,1,4,0,Medium,Handshake,12,76,4,3,,
3.35,Mid-tier,Business,Northeast,0,2,2,Large,Handshake,2,8,1,0,,
3.35,Top-tier,STEM,South,2,3,5,Medium,LinkedIn,12,146,6,3,,
2.65,Mid-tier,STEM,Midwest,0,4,3,Medium,Indeed,7,67,0,0,,
3.62,Mid-tier,Arts,Northeast,3,3,2,Medium,Handshake,2,8,2,2,,
3.04,Mid-tier,Humanities,Midwest,1,0,3,Large,LinkedIn,1,16,0,0,,
2.8,Lower-tier,Business,West,0,3,1,Large,LinkedIn,8,129,4,2,,
3.32,Mid-tier,STEM,South,0,5,2,Medium,Handshake,2,8,2,1,,
3.43,Lower-tier,STEM,South,0,0,1,Medium,Handshake,7,5,2,1,,
3.62,Mid-tier,Healthcare,West,1,3,3,Large,Indeed,12,118,2,1,,
3.06,Mid-tier,Business,Midwest,2,3,4,Medium,LinkedIn,1,10,2,2,,
3.22,Lower-tier,Humanities,Midwest,1,6,2,Medium,Indeed,9,181,0,0,,
3.04,Top-tier,STEM,Northeast,1,0,3,Large,Indeed,10,33,0,0,,
2.34,Lower-tier,Business,South,2,3,4,Small,LinkedIn,3,22,0,0,,
3.05,Lower-tier,Humanities,South,0,3,2,Large,Indeed,8,110,0,0,,
2.93,Lower-tier,Healthcare,Northeast,3,2,1,Large,Handshake,2,9,0,0,,
3.49,Mid-tier,Healthcare,Northeast,0,2,4,Medium,LinkedIn,3,10,0,0,,
3.25,Mid-tier,STEM,Midwest,0,0,4,Large,LinkedIn,4,26,0,0,,
3.91,Mid-tier,Business,Midwest,1,0,3,Small,LinkedIn,11,77,3,1,,
3.35,Mid-tier,STEM,Northeast,0,1,2,Medium,Handshake,4,29,3,1,,
3.73,Lower-tier,Business,Northeast,2,1,3,Medium,Indeed,7,65,2,1,,
3.23,Top-tier,Humanities,South,2,1,4,Large,LinkedIn,12,100,7,2,,
3.45,Mid-tier,Humanities,Northeast,1,1,4,Small,Indeed,7,131,6,6,,
3.55,Lower-tier,Healthcare,South,0,4,3,Large,LinkedIn,1,5,0,0,,
2.97,Mid-tier,STEM,Northeast,1,3,5,Large,Handshake,8,41,5,0,,
2.75,Lower-tier,STEM,West,0,4,2,Small,Handshake,2,10,1,0,,
3.6,Mid-tier,Humanities,West,0,1,6,Large,Handshake,3,5,2,1,,
2.85,Mid-tier,Arts,South,1,2,4,Large,Handshake,9,45,6,2,,
3.71,Top-tier,Healthcare,South,4,6,2,Medium,Indeed,11,152,2,1,,
3.44,Mid-tier,Humanities,Northeast,1,2,1,Medium,Handshake,4,34,2,1,,
2.74,Top-tier,Humanities,South,3,1,0,Medium,LinkedIn,5,68,3,1,,
3.28,Lower-tier,Business,South,1,3,4,Small,LinkedIn,10,71,4,1,,
3.87,Mid-tier,Healthcare,West,2,1,3,Medium,Handshake,10,31,2,2,,
2.9,Lower-tier,STEM,Midwest,0,3,2,Large,LinkedIn,9,75,2,1,,
3.02,Mid-tier,STEM,South,1,2,1,Large,LinkedIn,9,15,1,0,,
2.98,Lower-tier,STEM,Northeast,2,1,4,Large,LinkedIn,6,80,5,1,,
3.32,Mid-tier,Healthcare,Northeast,2,4,3,Large,LinkedIn,5,65,3,1,,
3.93,Mid-tier,Arts,Northeast,1,2,3,Large,Indeed,1,11,0,0,,
3.39,Mid-tier,STEM,Midwest,0,1,0,Medium,Indeed,6,107,1,0,,
3.86,Lower-tier,Humanities,Northeast,1,2,5,Small,Handshake,9,28,3,1,,
3.43,Mid-tier,Business,West,1,2,4,Large,Handshake,12,5,0,0,,
3.17,Lower-tier,Business,Midwest,0,4,3,Large,Handshake,5,11,2,1,,
3.07,Mid-tier,STEM,West,3,1,0,Small,Handshake,12,8,0,0,,
3.52,Mid-tier,Arts,Midwest,2,4,2,Large,Indeed,5,109,1,0,,
3.5,Mid-tier,Business,West,0,0,4,Large,LinkedIn,6,47,2,0,,
3.34,Mid-tier,STEM,Northeast,1,1,5,Medium,Handshake,3,18,2,0,,
3.26,Top-tier,Business,South,2,2,4,Medium,LinkedIn,7,67,2,1,,
2.98,Mid-tier,STEM,Midwest,2,3,3,Large,Handshake,4,32,3,1,,
2.38,Mid-tier,STEM,West,2,2,0,Medium,Indeed,10,125,1,0,,
3.44,Mid-tier,STEM,West,2,0,3,Large,LinkedIn,9,67,3,3,,
2.74,Mid-tier,Healthcare,South,0,2,2,Large,Handshake,9,27,4,1,,
3.13,Lower-tier,Business,South,1,1,3,Small,LinkedIn,8,82,2,2,,
3.22,Mid-tier,Business,Midwest,1,1,1,Small,Handshake,7,64,7,4,,
4.0,Mid-tier,Humanities,West,4,3,2,Large,LinkedIn,11,51,2,1,,
3.29,Top-tier,STEM,Midwest,4,3,4,Large,Indeed,1,11,2,2,,
3.4,Lower-tier,Humanities,Northeast,1,0,6,Medium,LinkedIn,12,142,3,2,,
3.28,Lower-tier,Business,Midwest,2,3,3,Large,Handshake,3,29,2,1,,
2.95,Top-tier,Healthcare,Midwest,4,3,4,Large,Indeed,6,131,2,1,,
2.76,Lower-tier,STEM,Northeast,0,1,3,Large,Handshake,6,32,1,0,,
3.61,Lower-tier,Business,Midwest,0,3,6,Small,Handshake,2,5,0,0,,
3.54,Top-tier,Business,South,0,4,3,Medium,Handshake,2,7,0,0,,
3.06,Mid-tier,Business,Midwest,0,4,2,Medium,Handshake,9,60,2,2,,
3.54,Top-tier,Humanities,West,3,0,1,Large,Indeed,10,151,0,0,,
3.33,Mid-tier,Arts,Northeast,2,3,1,Medium,Handshake,12,38,2,2,,
3.11,Mid-tier,STEM,South,3,2,3,Medium,Indeed,9,85,0,0,,
3.05,Lower-tier,STEM,West,1,4,5,Medium,LinkedIn,12,58,3,1,,
2.6,Mid-tier,Business,West,3,2,3,Medium,LinkedIn,12,150,7,1,,
2.99,Lower-tier,STEM,Midwest,2,2,3,Large,Handshake,3,17,1,0,,
3.24,Lower-tier,STEM,Northeast,0,1,4,Large,Indeed,3,44,0,0,,
3.55,Lower-tier,Humanities,Northeast,3,1,1,Large,Indeed,12,34,2,1,,
2.39,Mid-tier,STEM,West,0,1,1,Large,Indeed,6,90,1,1,,
3.89,Lower-tier,Business,South,2,3,4,Medium,Indeed,12,86,5,1,,
3.67,Top-tier,Business,Midwest,1,1,7,Large,Indeed,1,8,0,0,,
2.31,Mid-tier,STEM,South,1,1,3,Medium,Handshake,5,20,2,1,,
3.2,Lower-tier,Business,Midwest,1,3,5,Small,LinkedIn,9,150,6,3,,
3.04,Lower-tier,Business,South,0,0,5,Large,Handshake,8,29,2,2,,
3.08,Top-tier,Healthcare,South,1,0,1,Large,Indeed,8,101,1,0,,
3.43,Mid-tier,STEM,West,0,3,7,Large,LinkedIn,12,84,2,2,,
2.83,Lower-tier,STEM,Midwest,4,3,2,Medium,LinkedIn,11,64,2,2,,
2.78,Mid-tier,STEM,West,1,3,1,Medium,Handshake,11,71,4,1,,
3.91,Mid-tier,Business,Midwest,3,1,3,Large,LinkedIn,12,48,3,3,,
2.94,Mid-tier,STEM,South,1,1,2,Medium,Indeed,9,117,2,2,,
3.46,Lower-tier,Business,Northeast,4,2,2,Large,Handshake,12,88,7,1,,
3.47,Lower-tier,STEM,West,0,2,1,Medium,Handshake,4,10,1,0,,
2.99,Mid-tier,STEM,Northeast,0,1,3,Large,LinkedIn,9,37,4,0,,
3.04,Mid-tier,STEM,Midwest,2,1,1,Small,Handshake,11,66,3,1,,
2.83,Lower-tier,Humanities,South,3,3,2,Small,Handshake,3,30,2,2,,
2.94,Lower-tier,Business,West,0,1,4,Small,Handshake,8,16,2,0,,
3.97,Mid-tier,STEM,West,1,2,3,Large,Handshake,3,19,2,1,,
2.94,Mid-tier,Humanities,Northeast,3,0,7,Large,Indeed,10,163,6,5,,
3.12,Lower-tier,Business,West,2,1,3,Large,LinkedIn,9,64,4,4,,
3.14,Top-tier,STEM,West,1,3,3,Large,Indeed,5,58,1,0,,
3.37,Lower-tier,Healthcare,South,0,1,1,Large,Indeed,1,12,0,0,,
3.52,Mid-tier,STEM,West,2,3,2,Small,Indeed,3,19,2,1,,
3.01,Top-tier,Arts,Northeast,2,0,3,Medium,LinkedIn,3,18,1,0,,
3.56,Lower-tier,Business,Northeast,1,5,2,Medium,LinkedIn,6,5,0,0,,
3.64,Mid-tier,Business,Northeast,0,0,2,Medium,Handshake,9,45,6,0,,
3.47,Mid-tier,Humanities,West,1,4,2,Medium,Indeed,10,160,1,1,,
3.66,Mid-tier,STEM,West,0,3,1,Medium,Handshake,1,5,0,0,,
2.65,Lower-tier,STEM,South,2,6,2,Medium,LinkedIn,6,7,0,0,,
2.22,Top-tier,Business,West,2,3,4,Medium,Handshake,12,138,16,5,,
3.59,Lower-tier,STEM,South,1,0,6,Medium,Indeed,8,113,1,0,,
2.97,Lower-tier,STEM,South,1,2,4,Large,Handshake,7,56,7,2,,
3.56,Mid-tier,STEM,South,3,2,3,Small,Handshake,8,73,2,2,,
3.17,Top-tier,STEM,West,1,3,2,Small,Handshake,11,84,4,2,,
3.05,Lower-tier,STEM,Midwest,3,4,7,Medium,Indeed,8,88,0,0,,
3.48,Top-tier,Business,Northeast,3,2,5,Medium,LinkedIn,11,42,2,0,,
3.44,Mid-tier,Humanities,Midwest,1,0,2,Medium,LinkedIn,7,50,2,1,,
2.78,Lower-tier,Business,Midwest,1,3,3,Large,Handshake,5,5,0,0,,
3.14,Mid-tier,Business,Northeast,0,2,5,Large,Handshake,11,29,1,0,,
2.75,Mid-tier,Business,South,0,3,2,Large,LinkedIn,3,18,1,0,,
3.79,Top-tier,Business,Northeast,3,3,4,Medium,Handshake,1,5,2,2,,
2.63,Mid-tier,STEM,South,0,0,5,Small,Handshake,5,40,1,0,,
2.72,Top-tier,STEM,Northeast,1,1,3,Medium,Indeed,2,22,2,1,,
3.02,Lower-tier,Business,South,0,1,2,Medium,LinkedIn,9,85,2,1,,
2.64,Mid-tier,Business,South,1,4,4,Medium,LinkedIn,3,21,1,1,,
3.19,Top-tier,Healthcare,South,2,2,5,Small,LinkedIn,7,84,1,0,,
2.83,Mid-tier,Business,Northeast,0,3,0,Small,Handshake,9,45,0,0,,
3.11,Top-tier,STEM,Northeast,2,3,5,Medium,LinkedIn,12,68,2,1,,
3.3,Mid-tier,STEM,Northeast,3,5,3,Medium,Indeed,2,26,0,0,,
2.61,Mid-tier,STEM,Midwest,0,4,2,Medium,Handshake,12,96,7,2,,
2.79,Lower-tier,Healthcare,South,0,3,2,Large,Indeed,2,12,0,0,,
3.21,Mid-tier,STEM,Midwest,1,0,5,Medium,Indeed,5,30,0,0,,
2.67,Lower-tier,Business,South,0,1,1,Large,LinkedIn,9,12,1,1,,
3.24,Mid-tier,Business,Midwest,3,5,2,Medium,Handshake,11,53,3,1,,
2.86,Lower-tier,Healthcare,Northeast,2,3,5,Large,LinkedIn,8,65,4,2,,
3.28,Mid-tier,Humanities,Midwest,1,2,1,Small,LinkedIn,9,147,4,3,,
3.62,Mid-tier,STEM,Midwest,3,4,1,Medium,LinkedIn,11,106,5,4,,
2.98,Mid-tier,Business,Midwest,4,2,3,Large,LinkedIn,11,146,6,6,,
3.34,Lower-tier,STEM,Northeast,0,3,4,Small,Indeed,6,93,3,2,,
3.22,Top-tier,Business,Northeast,2,0,5,Small,Handshake,8,56,6,4,,
3.22,Mid-tier,STEM,South,2,1,3,Large,Handshake,8,25,2,1,,
2.82,Mid-tier,Humanities,South,2,2,1,Medium,Indeed,3,17,0,0,,
3.02,Mid-tier,Healthcare,South,0,1,2,Large,Indeed,6,117,0,0,,
2.95,Mid-tier,Business,West,1,0,3,Medium,LinkedIn,11,67,1,0,,
3.7,Lower-tier,Business,West,2,2,3,Large,Indeed,9,61,0,0,,
3.05,Mid-tier,Humanities,Midwest,1,1,4,Large,LinkedIn,11,71,2,0,,
3.85,Mid-tier,Humanities,Midwest,0,0,5,Large,Indeed,7,120,0,0,,
2.85,Lower-tier,Business,West,3,2,4,Large,LinkedIn,2,13,1,0,,
2.69,Mid-tier,Healthcare,Midwest,0,2,5,Medium,LinkedIn,5,52,1,1,,
2.2,Lower-tier,Humanities,Midwest,2,3,2,Large,LinkedIn,5,50,3,3,,
2.47,Lower-tier,STEM,Northeast,0,0,1,Medium,Indeed,8,98,3,3,,
3.15,Mid-tier,Business,South,0,1,3,Large,Handshake,2,5,1,1,,
2.49,Mid-tier,Humanities,Northeast,0,1,3,Small,Handshake,4,17,2,1,,
2.1,Mid-tier,STEM,Midwest,3,4,3,Large,LinkedIn,2,16,2,2,,
3.11,Lower-tier,Business,Midwest,1,3,1,Medium,Indeed,9,73,3,2,,
2.55,Lower-tier,STEM,West,2,1,2,Small,Handshake,6,35,2,0,,
3.23,Mid-tier,Business,South,0,3,3,Large,Handshake,4,36,3,1,,
2.62,Mid-tier,Humanities,West,2,1,5,Large,Handshake,12,80,6,3,,
3.64,Mid-tier,STEM,Midwest,0,1,5,Large,LinkedIn,10,95,5,0,,
2.86,Mid-tier,STEM,South,1,4,2,Large,Handshake,4,28,3,3,,
2.96,Lower-tier,Healthcare,South,3,0,1,Medium,Indeed,6,81,1,1,,
3.08,Top-tier,STEM,South,0,3,4,Small,Indeed,3,22,0,0,,
3.42,Mid-tier,STEM,Northeast,2,2,2,Medium,Indeed,10,145,6,5,,
3.07,Lower-tier,STEM,Midwest,2,4,4,Medium,LinkedIn,5,70,3,1,,
3.85,Top-tier,STEM,Northeast,1,6,1,Large,Handshake,9,37,4,0,,
3.66,Top-tier,Business,West,2,1,1,Large,Handshake,10,45,3,2,,
3.55,Lower-tier,Business,Northeast,4,0,3,Large,Indeed,6,107,3,1,,
2.94,Mid-tier,STEM,South,0,1,3,Large,LinkedIn,6,62,4,4,,
3.79,Lower-tier,Business,South,1,2,2,Medium,Handshake,6,34,3,1,,
2.81,Mid-tier,Business,Northeast,1,3,4,Small,Indeed,11,89,0,0,,
3.47,Lower-tier,STEM,West,1,2,3,Large,Handshake,2,11,0,0,,
3.65,Top-tier,Business,West,0,0,8,Small,LinkedIn,7,51,2,0,,
2.67,Top-tier,STEM,Northeast,2,2,2,Medium,Handshake,10,78,5,2,,
3.22,Top-tier,Healthcare,West,1,2,5,Medium,LinkedIn,6,66,4,3,,
2.82,Lower-tier,Business,South,1,6,1,Large,Handshake,10,30,2,1,,
4.0,Mid-tier,Humanities,South,0,1,1,Medium,Handshake,6,24,0,0,,
3.29,Mid-tier,STEM,South,0,4,0,Large,Indeed,2,28,1,0,,
3.04,Top-tier,Business,West,1,0,2,Medium,LinkedIn,2,6,0,0,,
3.09,Mid-tier,STEM,South,1,2,3,Medium,LinkedIn,3,6,0,0,,
3.11,Lower-tier,Business,Northeast,2,1,3,Large,LinkedIn,3,19,0,0,,
3.23,Top-tier,Arts,West,0,1,3,Medium,LinkedIn,11,38,2,2,,
3.02,Top-tier,STEM,South,2,2,5,Large,Handshake,12,54,1,0,,
2.86,Mid-tier,STEM,Northeast,4,2,4,Large,LinkedIn,10,66,4,3,,
3.17,Top-tier,Business,South,2,8,6,Medium,Handshake,2,7,0,0,,
3.51,Mid-tier,Business,West,2,2,4,Small,Indeed,4,68,0,0,,
3.06,Lower-tier,Arts,West,0,4,3,Small,Handshake,5,27,1,0,,
3.13,Mid-tier,Arts,Midwest,2,2,6,Large,Indeed,2,20,0,0,,
3.39,Lower-tier,STEM,Northeast,0,2,5,Medium,Handshake,5,26,4,1,,
3.5,Lower-tier,Humanities,Northeast,2,2,3,Large,LinkedIn,10,106,4,4,,
2.74,Mid-tier,STEM,West,1,3,2,Medium,Indeed,10,160,3,1,,
2.95,Mid-tier,Arts,West,0,3,1,Small,Handshake,5,26,2,0,,
3.87,Lower-tier,STEM,Northeast,3,3,2,Medium,Indeed,10,171,0,0,,
3.33,Lower-tier,STEM,Northeast,2,1,3,Small,LinkedIn,3,22,2,1,,
2.94,Lower-tier,STEM,South,1,2,2,Large,Handshake,12,66,5,2,,
3.35,Mid-tier,STEM,Northeast,2,1,2,Medium,Indeed,6,56,0,0,,
4.0,Mid-tier,Business,South,1,3,4,Large,LinkedIn,7,58,3,1,,
3.2,Lower-tier,STEM,South,0,5,1,Large,Indeed,3,51,2,2,,
2.82,Mid-tier,Business,South,0,1,4,Medium,Handshake,1,5,2,2,,
2.77,Mid-tier,STEM,South,0,1,3,Small,Handshake,10,36,2,2,,
2.37,Mid-tier,Business,South,1,3,4,Medium,LinkedIn,8,48,2,1,,
3.24,Mid-tier,Healthcare,Northeast,0,2,6,Large,LinkedIn,2,19,0,0,,
3.06,Lower-tier,STEM,Northeast,2,3,4,Medium,LinkedIn,4,14,1,0,,
3.02,Lower-tier,Healthcare,West,0,0,3,Medium,LinkedIn,5,39,2,2,,
