GPA,University_Rating,Major_Category,Region,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,School_Size,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received
3.59,Top-tier,Healthcare,Northeast,4,1,2,Medium,LinkedIn,10,5,2,1,1
2.7,Mid-tier,Humanities,Midwest,4,2,3,Large,Indeed,3,50,3,2,1
3.1,Mid-tier,Business,West,3,4,2,Medium,LinkedIn,6,62,2,1,0
3.2,Top-tier,STEM,Northeast,2,1,3,Large,Handshake,7,40,3,3,1
3.18,Lower-tier,Healthcare,Midwest,3,1,2,Large,Indeed,10,125,0,0,0
3.33,Lower-tier,Healthcare,Midwest,0,4,1,Large,Handshake,12,72,3,1,1
2.64,Lower-tier,STEM,West,1,3,2,Small,Handshake,12,42,4,1,0
2.87,Mid-tier,Healthcare,Midwest,0,0,3,Small,Indeed,9,130,6,2,1
2.88,Top-tier,Arts,South,0,2,4,Large,LinkedIn,10,61,3,0,0
3.09,Lower-tier,Arts,Midwest,0,5,5,Large,Indeed,5,49,1,0,0
2.8,Mid-tier,STEM,Northeast,2,3,2,Medium,Indeed,4,24,2,2,1
3.54,Top-tier,Business,South,0,1,4,Medium,Indeed,8,33,0,0,0
2.93,Mid-tier,STEM,West,1,0,4,Medium,Indeed,9,142,1,0,0
2.65,Top-tier,Business,Midwest,1,0,5,Large,LinkedIn,5,45,3,2,1
4.0,Lower-tier,Humanities,West,0,2,5,Large,Indeed,4,58,0,0,0
3.66,Mid-tier,Humanities,West,0,2,0,Medium,LinkedIn,10,88,4,1,0
3.55,Lower-tier,Business,South,2,2,5,Medium,Handshake,2,10,2,1,1
3.93,Mid-tier,Healthcare,Midwest,1,1,1,Medium,Handshake,7,15,2,1,1
2.79,Mid-tier,Humanities,Midwest,1,3,4,Small,LinkedIn,3,34,2,1,1
2.69,Mid-tier,STEM,Midwest,1,4,5,Small,Handshake,2,18,1,0,0
2.95,Mid-tier,Arts,West,1,1,2,Small,Indeed,2,20,0,0,0
3.54,Lower-tier,Healthcare,South,1,1,1,Small,Handshake,9,66,9,1,0
3.67,Lower-tier,Healthcare,South,0,1,4,Medium,Indeed,10,91,0,0,0
2.67,Lower-tier,Business,South,0,3,2,Small,LinkedIn,7,5,0,0,0
2.58,Lower-tier,Business,Midwest,0,0,3,Large,Indeed,7,29,0,0,0
3.71,Mid-tier,Business,Midwest,2,2,3,Large,LinkedIn,3,5,2,2,1
2.34,Lower-tier,Arts,Northeast,0,1,2,Large,LinkedIn,9,78,4,1,0
3.4,Top-tier,Humanities,Midwest,1,2,4,Large,Handshake,10,53,5,1,0
2.4,Mid-tier,STEM,South,3,2,6,Large,LinkedIn,1,7,1,0,0
3.69,Top-tier,Business,Midwest,3,0,3,Small,LinkedIn,10,5,2,1,1
3.5,Mid-tier,STEM,Midwest,3,2,3,Small,Handshake,11,29,2,1,1
2.82,Mid-tier,Business,West,2,2,2,Large,Handshake,3,16,2,1,1
3.74,Mid-tier,Business,West,0,2,2,Medium,LinkedIn,1,8,2,1,1
3.53,Lower-tier,Business,West,2,5,2,Small,Handshake,4,15,1,0,0
3.31,Mid-tier,STEM,Northeast,0,3,4,Small,Handshake,2,6,0,0,0
3.1,Mid-tier,STEM,South,3,1,3,Large,LinkedIn,5,24,2,2,1
3.22,Mid-tier,Healthcare,West,0,3,1,Medium,Handshake,12,28,2,2,1
2.97,Top-tier,Healthcare,West,1,1,2,Medium,LinkedIn,5,48,2,1,0
3.16,Lower-tier,STEM,Midwest,4,2,2,Large,LinkedIn,1,6,0,0,0
3.2,Top-tier,STEM,West,3,2,1,Large,LinkedIn,10,96,2,1,1
2.72,Lower-tier,STEM,Northeast,4,3,3,Small,Handshake,5,11,2,2,1
2.95,Lower-tier,Humanities,Midwest,2,0,1,Medium,Handshake,8,49,3,3,1
2.9,Mid-tier,Arts,Northeast,2,3,4,Large,Handshake,12,44,2,2,1
2.82,Top-tier,Business,West,1,1,2,Small,LinkedIn,2,12,2,1,1
4.0,Lower-tier,Business,Northeast,0,0,4,Small,LinkedIn,1,9,0,0,0
3.2,Lower-tier,Business,Midwest,1,3,5,Small,LinkedIn,9,150,6,3,0
3.08,Lower-tier,Business,Midwest,2,4,3,Medium,Handshake,2,7,1,0,0
3.75,Lower-tier,Business,Northeast,1,1,3,Medium,Indeed,1,13,2,2,1
2.24,Top-tier,Healthcare,West,1,2,3,Large,Indeed,3,39,0,0,0
3.62,Mid-tier,Arts,Midwest,1,1,2,Medium,LinkedIn,4,15,0,0,0
3.27,Top-tier,STEM,Midwest,0,8,1,Medium,Handshake,5,57,5,2,0
3.08,Lower-tier,Business,Northeast,1,1,2,Medium,Indeed,9,106,1,1,0
3.37,Mid-tier,Business,South,2,2,1,Large,LinkedIn,9,49,2,1,0
4.0,Mid-tier,STEM,Northeast,0,2,5,Medium,Indeed,8,49,0,0,0
3.26,Top-tier,STEM,Midwest,2,4,2,Small,LinkedIn,9,76,4,3,1
3.49,Mid-tier,Healthcare,West,1,0,2,Medium,Indeed,4,60,0,0,0
3.48,Mid-tier,Business,Northeast,2,4,2,Large,Indeed,7,119,0,0,0
3.23,Lower-tier,STEM,West,1,1,1,Large,Handshake,11,62,4,1,0
3.37,Mid-tier,Business,Midwest,2,3,2,Large,LinkedIn,11,38,2,1,1
3.34,Lower-tier,Business,South,1,1,5,Large,Handshake,5,16,3,2,0
3.29,Mid-tier,Healthcare,South,0,3,6,Medium,Handshake,8,20,1,0,0
2.79,Top-tier,Business,Midwest,1,2,3,Small,LinkedIn,3,24,1,1,0
2.85,Lower-tier,Humanities,Northeast,0,1,7,Large,Handshake,2,10,2,1,1
3.05,Lower-tier,STEM,Northeast,0,0,4,Medium,Handshake,2,11,2,0,0
2.76,Mid-tier,Healthcare,Northeast,0,2,4,Small,Handshake,5,20,1,0,0
3.0,Lower-tier,Arts,Northeast,1,2,3,Medium,Handshake,6,41,3,0,0
3.03,Mid-tier,Business,Midwest,1,1,3,Medium,Handshake,9,9,2,2,1
3.07,Mid-tier,STEM,West,1,0,1,Medium,Indeed,10,125,2,1,0
3.2,Mid-tier,STEM,South,1,1,4,Large,Handshake,10,63,7,2,0
3.64,Top-tier,Business,West,2,2,2,Medium,LinkedIn,6,31,2,2,1
3.22,Top-tier,Humanities,West,1,1,2,Small,Indeed,1,15,2,1,1
2.55,Top-tier,Business,Northeast,2,6,2,Large,Indeed,1,11,1,0,0
3.38,Mid-tier,Business,Midwest,0,5,5,Small,Handshake,11,66,4,1,1
3.32,Mid-tier,STEM,South,1,2,1,Large,Handshake,1,6,2,1,1
2.86,Mid-tier,STEM,South,5,2,5,Medium,LinkedIn,4,16,2,1,1
3.49,Lower-tier,Healthcare,Midwest,0,0,0,Large,Indeed,3,29,2,2,1
3.61,Mid-tier,STEM,Northeast,2,3,3,Large,Indeed,11,209,3,1,0
3.26,Mid-tier,Humanities,West,1,3,5,Small,Handshake,3,11,0,0,0
3.23,Lower-tier,Healthcare,West,1,1,1,Small,Handshake,12,34,2,1,0
4.0,Mid-tier,Business,Northeast,2,1,3,Large,LinkedIn,1,5,0,0,0
2.48,Top-tier,STEM,Midwest,0,0,4,Large,Handshake,10,50,6,4,0
3.05,Mid-tier,Humanities,Northeast,0,0,2,Small,Handshake,7,46,2,2,1
2.74,Mid-tier,STEM,West,0,2,2,Small,Handshake,8,21,2,0,0
3.96,Lower-tier,STEM,South,1,0,7,Medium,LinkedIn,1,11,0,0,0
2.68,Lower-tier,Business,Northeast,2,2,5,Large,Handshake,3,16,2,1,1
3.61,Mid-tier,Humanities,South,0,2,2,Small,LinkedIn,2,32,2,1,0
3.58,Lower-tier,Business,South,0,3,5,Large,Indeed,2,25,2,1,1
2.41,Lower-tier,Business,Northeast,0,3,4,Small,LinkedIn,1,6,2,0,0
2.95,Mid-tier,Business,Northeast,2,3,1,Medium,LinkedIn,1,5,2,2,1
3.69,Lower-tier,Healthcare,South,1,2,4,Large,LinkedIn,3,15,2,2,1
3.08,Mid-tier,Business,Northeast,0,6,4,Small,LinkedIn,1,7,0,0,0
2.8,Lower-tier,STEM,Midwest,2,2,3,Medium,Handshake,6,31,1,1,0
2.95,Lower-tier,STEM,West,2,2,2,Large,Indeed,12,192,8,6,1
3.16,Mid-tier,Healthcare,Northeast,0,6,6,Small,LinkedIn,9,54,3,1,0
3.17,Top-tier,Business,South,1,0,3,Large,Indeed,12,72,3,2,1
3.34,Mid-tier,STEM,West,0,2,4,Large,Indeed,6,81,5,1,1
2.0,Mid-tier,STEM,Northeast,0,2,2,Medium,Handshake,12,5,2,1,1
3.24,Lower-tier,Business,Midwest,3,0,3,Medium,Handshake,5,25,2,2,1
3.35,Lower-tier,Arts,Midwest,0,0,4,Medium,Handshake,11,75,2,1,1
3.47,Top-tier,Business,West,1,3,3,Large,LinkedIn,11,99,2,1,0
3.44,Mid-tier,STEM,Midwest,2,3,5,Large,LinkedIn,11,97,3,0,0
3.13,Mid-tier,Business,Midwest,0,2,3,Large,LinkedIn,6,32,1,0,0
2.43,Mid-tier,Business,Midwest,1,1,3,Large,LinkedIn,10,108,7,1,0
3.52,Top-tier,Humanities,Northeast,1,2,2,Medium,LinkedIn,6,40,2,1,0
3.37,Mid-tier,Arts,Midwest,2,1,3,Medium,Indeed,11,126,1,0,0
2.89,Lower-tier,Humanities,South,1,1,7,Large,Indeed,11,141,7,1,1
2.63,Mid-tier,Humanities,Northeast,1,2,4,Large,LinkedIn,9,79,4,1,0
2.52,Mid-tier,Healthcare,Northeast,0,2,2,Medium,Handshake,5,26,0,0,0
3.26,Lower-tier,STEM,Midwest,2,2,2,Large,Handshake,9,66,6,1,0
2.35,Mid-tier,STEM,Midwest,0,2,3,Large,LinkedIn,9,100,2,1,0
3.0,Lower-tier,Humanities,Northeast,0,0,0,Large,Handshake,8,21,4,0,0
3.97,Lower-tier,Business,Midwest,0,2,6,Medium,LinkedIn,5,47,2,0,0
3.04,Mid-tier,Healthcare,West,1,3,5,Medium,LinkedIn,12,32,1,0,0
3.15,Mid-tier,STEM,South,2,1,0,Large,Handshake,9,78,3,0,0
2.8,Mid-tier,STEM,West,0,1,3,Medium,Handshake,1,6,1,1,0
2.44,Mid-tier,Arts,Northeast,0,2,4,Large,Indeed,8,134,2,0,0
3.04,Top-tier,Humanities,South,1,2,2,Large,LinkedIn,2,13,0,0,0
2.68,Mid-tier,Business,South,2,1,2,Medium,Indeed,12,188,3,0,0
3.41,Mid-tier,Business,Midwest,1,1,2,Large,LinkedIn,12,88,3,2,1
3.19,Top-tier,STEM,South,2,3,6,Small,LinkedIn,2,10,0,0,0
3.18,Mid-tier,Arts,Northeast,0,4,1,Large,LinkedIn,2,18,1,0,0
3.8,Lower-tier,Business,Midwest,0,5,1,Medium,Indeed,2,21,1,1,0
3.36,Mid-tier,STEM,Northeast,1,1,6,Large,LinkedIn,9,73,6,2,0
3.53,Top-tier,Business,South,2,1,0,Small,Indeed,3,49,3,1,1
2.85,Mid-tier,Arts,South,3,4,3,Medium,Handshake,5,29,2,2,1
3.46,Lower-tier,STEM,Midwest,0,1,3,Medium,Handshake,9,54,5,2,0
3.36,Mid-tier,STEM,South,2,1,5,Medium,LinkedIn,5,35,2,2,1
4.0,Lower-tier,STEM,West,0,6,3,Large,Handshake,2,13,2,2,1
3.77,Lower-tier,STEM,Midwest,0,1,3,Large,Indeed,12,104,0,0,0
2.92,Mid-tier,Humanities,South,0,2,6,Large,Handshake,10,5,2,1,1
2.74,Lower-tier,Humanities,West,2,0,2,Large,Handshake,7,49,4,1,0
2.51,Mid-tier,Business,South,1,2,2,Large,Handshake,9,46,2,0,0
3.44,Mid-tier,STEM,Northeast,0,0,4,Medium,Handshake,8,46,2,0,0
3.53,Mid-tier,STEM,South,1,2,4,Medium,LinkedIn,10,68,3,1,0
3.06,Mid-tier,Healthcare,South,4,0,1,Small,Handshake,11,84,5,0,0
2.7,Top-tier,Arts,South,4,3,1,Medium,Handshake,9,24,2,1,0
3.1,Lower-tier,STEM,Midwest,2,4,1,Medium,Handshake,4,14,2,2,1
2.88,Mid-tier,Business,Midwest,1,3,5,Medium,Indeed,11,161,8,5,1
2.86,Mid-tier,STEM,West,0,2,5,Small,Handshake,8,33,3,0,0
2.89,Top-tier,Business,South,2,3,3,Large,Handshake,3,10,0,0,0
3.33,Mid-tier,STEM,Midwest,2,1,4,Large,Handshake,9,42,4,2,0
3.72,Lower-tier,STEM,Midwest,0,1,6,Medium,LinkedIn,4,43,0,0,0
3.38,Top-tier,Humanities,South,1,3,1,Large,LinkedIn,6,73,2,1,1
2.99,Mid-tier,Healthcare,West,2,2,5,Small,LinkedIn,6,7,0,0,0
2.63,Mid-tier,STEM,Northeast,0,3,1,Large,LinkedIn,3,26,0,0,0
3.67,Mid-tier,Humanities,Northeast,1,5,4,Small,Indeed,8,105,4,3,1
3.29,Mid-tier,STEM,South,0,2,2,Medium,LinkedIn,12,46,3,1,0
3.58,Lower-tier,STEM,Midwest,1,1,2,Medium,LinkedIn,2,23,2,0,0
3.15,Mid-tier,Humanities,Northeast,4,1,4,Small,LinkedIn,7,73,4,4,1
3.82,Lower-tier,STEM,West,3,1,3,Small,Handshake,2,12,2,1,1
3.78,Top-tier,STEM,South,0,1,1,Large,LinkedIn,10,95,4,4,1
3.4,Mid-tier,STEM,South,0,1,3,Small,Handshake,1,7,2,2,1
2.39,Top-tier,STEM,Northeast,4,3,4,Large,Indeed,3,58,0,0,0
3.82,Lower-tier,Business,Midwest,0,1,1,Large,LinkedIn,8,73,2,0,0
3.43,Lower-tier,Healthcare,South,1,4,4,Medium,Handshake,5,22,2,1,1
2.58,Mid-tier,Healthcare,Northeast,1,1,3,Large,Indeed,9,118,6,6,1
3.75,Lower-tier,Healthcare,West,2,2,3,Large,LinkedIn,5,25,2,2,1
2.82,Lower-tier,STEM,Midwest,0,0,3,Medium,Handshake,3,6,2,2,1
3.23,Mid-tier,Arts,South,0,3,3,Large,Indeed,2,32,0,0,0
3.15,Mid-tier,Humanities,South,2,3,3,Large,Indeed,9,168,0,0,0
2.85,Mid-tier,Business,West,4,1,2,Large,LinkedIn,4,42,3,3,1
2.42,Top-tier,Business,South,2,1,2,Large,Handshake,7,32,2,1,1
4.0,Lower-tier,Healthcare,Midwest,0,1,5,Large,LinkedIn,4,33,1,0,0
3.71,Lower-tier,Healthcare,Midwest,2,2,5,Large,LinkedIn,10,43,1,1,0
3.37,Mid-tier,Healthcare,South,1,1,0,Medium,Handshake,3,19,2,2,1
3.44,Mid-tier,Healthcare,Northeast,1,2,4,Medium,Handshake,4,11,0,0,0
3.06,Mid-tier,Business,Northeast,0,3,1,Large,LinkedIn,10,111,3,1,1
3.88,Lower-tier,Healthcare,South,1,2,1,Large,Indeed,3,26,0,0,0
3.74,Lower-tier,Business,Northeast,0,6,7,Small,Handshake,8,37,2,1,1
3.03,Lower-tier,Business,Northeast,0,3,3,Large,LinkedIn,4,51,2,0,0
3.1,Lower-tier,Humanities,Midwest,1,2,7,Large,Indeed,5,65,0,0,0
2.93,Mid-tier,Healthcare,South,1,3,4,Small,LinkedIn,7,53,0,0,0
3.77,Top-tier,STEM,Midwest,1,0,2,Large,Handshake,4,25,2,1,1
3.55,Mid-tier,STEM,Northeast,1,1,2,Large,Indeed,7,116,2,0,0
2.9,Lower-tier,Humanities,Northeast,1,3,2,Large,LinkedIn,10,123,7,4,0
2.62,Mid-tier,STEM,South,1,2,2,Small,Handshake,12,44,1,0,0
3.82,Top-tier,Business,Northeast,1,2,3,Large,Handshake,3,10,2,2,1
3.16,Top-tier,Humanities,Northeast,1,1,3,Small,LinkedIn,8,100,6,2,0
3.79,Lower-tier,Healthcare,Northeast,0,2,3,Small,LinkedIn,8,80,5,1,0
2.91,Top-tier,STEM,Northeast,1,2,2,Medium,Indeed,7,95,2,1,0
2.81,Mid-tier,Humanities,Northeast,0,2,1,Medium,Handshake,6,29,1,1,0
3.1,Mid-tier,STEM,Northeast,2,0,4,Large,LinkedIn,3,26,2,0,0
3.17,Lower-tier,STEM,South,1,1,3,Medium,LinkedIn,7,50,4,3,0
3.36,Lower-tier,Business,South,2,4,4,Medium,LinkedIn,9,42,2,0,0
3.07,Mid-tier,Healthcare,Northeast,0,2,5,Small,LinkedIn,6,5,1,0,0
3.12,Lower-tier,STEM,West,2,2,3,Medium,Handshake,6,22,2,0,0
2.92,Mid-tier,Healthcare,South,0,1,3,Large,Handshake,2,11,1,0,0
3.67,Mid-tier,Business,Midwest,1,1,5,Large,LinkedIn,2,15,2,1,1
3.53,Lower-tier,STEM,Northeast,0,1,3,Large,Handshake,9,70,6,1,0
2.93,Mid-tier,Humanities,Northeast,2,1,2,Medium,LinkedIn,6,80,5,1,0
4.0,Lower-tier,STEM,West,4,1,1,Small,Handshake,9,36,2,1,1
2.67,Lower-tier,Humanities,Midwest,1,3,2,Large,Indeed,12,300,4,0,0
3.64,Mid-tier,Business,West,1,3,3,Large,LinkedIn,11,102,5,3,1
3.06,Top-tier,STEM,South,1,1,1,Small,LinkedIn,10,108,2,2,1
3.48,Mid-tier,Humanities,West,0,2,1,Medium,Handshake,3,21,1,1,0
3.8,Mid-tier,Business,West,4,1,2,Medium,LinkedIn,2,16,2,1,1
3.08,Mid-tier,Healthcare,Midwest,0,1,4,Large,Indeed,9,118,1,0,0
3.3,Lower-tier,Business,West,0,0,3,Medium,Indeed,10,75,0,0,0
3.77,Mid-tier,STEM,South,0,1,4,Large,LinkedIn,2,21,0,0,0
3.38,Lower-tier,Humanities,Northeast,1,4,3,Small,Handshake,4,17,2,2,1
2.69,Mid-tier,Business,Northeast,0,0,7,Large,LinkedIn,11,45,2,2,1
2.75,Lower-tier,STEM,Northeast,1,6,2,Medium,LinkedIn,2,26,2,2,1
3.31,Mid-tier,STEM,South,1,2,7,Medium,Handshake,2,5,2,2,1
2.81,Mid-tier,STEM,West,1,1,3,Medium,Handshake,8,41,5,2,0
3.23,Mid-tier,STEM,South,1,1,0,Medium,Indeed,10,151,1,1,0
3.85,Mid-tier,STEM,South,0,3,5,Large,Indeed,6,62,1,1,0
3.65,Lower-tier,Healthcare,Northeast,4,3,3,Small,LinkedIn,2,17,2,2,1
4.0,Mid-tier,Business,Northeast,3,3,7,Large,LinkedIn,7,74,2,2,1
3.01,Top-tier,Business,Northeast,0,1,2,Large,LinkedIn,11,128,4,3,1
2.92,Mid-tier,STEM,Northeast,0,1,2,Large,Indeed,1,6,0,0,0
3.47,Mid-tier,Business,Northeast,1,5,6,Large,Indeed,5,62,1,0,0
3.09,Lower-tier,Humanities,Northeast,1,1,3,Large,LinkedIn,4,32,0,0,0
2.65,Lower-tier,STEM,Northeast,1,4,2,Medium,Indeed,3,50,0,0,0
2.87,Lower-tier,Arts,Northeast,3,4,3,Large,Indeed,10,158,2,1,0
3.22,Mid-tier,Healthcare,West,2,2,6,Small,Handshake,6,50,5,0,0
3.39,Top-tier,STEM,Northeast,0,0,2,Large,LinkedIn,12,106,3,1,1
3.54,Lower-tier,Arts,Midwest,0,3,4,Small,Indeed,4,44,0,0,0
3.08,Mid-tier,STEM,West,0,2,0,Large,LinkedIn,11,152,4,0,0
3.3,Lower-tier,Healthcare,Midwest,0,3,3,Large,Indeed,3,60,0,0,0
3.33,Lower-tier,Business,Midwest,2,0,1,Small,LinkedIn,2,23,2,2,1
3.03,Lower-tier,STEM,West,1,2,1,Large,LinkedIn,4,5,0,0,0
2.86,Mid-tier,Arts,South,2,3,4,Large,LinkedIn,6,24,1,0,0
3.06,Mid-tier,STEM,Northeast,0,5,4,Medium,Indeed,2,25,2,2,1
3.44,Lower-tier,Healthcare,West,0,2,3,Small,LinkedIn,11,91,5,3,1
3.54,Mid-tier,Business,Midwest,1,0,1,Small,LinkedIn,8,80,5,5,1
3.24,Mid-tier,Healthcare,West,2,3,0,Large,LinkedIn,12,72,2,0,0
3.51,Mid-tier,Business,South,0,3,1,Medium,Indeed,3,47,1,1,0
2.25,Lower-tier,STEM,Midwest,4,3,1,Small,Indeed,10,240,2,1,0
2.82,Lower-tier,Arts,South,2,4,4,Medium,Indeed,1,19,1,0,0
3.29,Mid-tier,STEM,South,2,2,1,Large,Indeed,5,87,3,2,1
3.67,Top-tier,Healthcare,Northeast,0,1,2,Large,LinkedIn,8,92,4,4,1
3.44,Mid-tier,Healthcare,West,1,2,7,Large,Indeed,5,57,0,0,0
3.92,Lower-tier,Business,South,0,2,5,Large,LinkedIn,5,52,2,1,1
3.65,Top-tier,Business,South,1,3,1,Large,LinkedIn,7,46,0,0,0
2.64,Mid-tier,STEM,Midwest,1,0,3,Small,Indeed,11,42,0,0,0
3.5,Lower-tier,STEM,West,2,2,3,Small,LinkedIn,6,67,2,1,1
2.82,Lower-tier,STEM,West,0,3,2,Medium,LinkedIn,1,11,0,0,0
2.78,Lower-tier,Healthcare,South,0,1,2,Medium,Indeed,7,101,3,0,0
2.66,Lower-tier,Healthcare,South,2,1,4,Small,Handshake,4,30,2,1,0
3.19,Mid-tier,STEM,South,2,2,3,Large,Indeed,8,114,6,2,1
3.08,Mid-tier,STEM,West,1,1,2,Large,Handshake,11,36,2,0,0
2.94,Lower-tier,Healthcare,South,3,2,3,Medium,Handshake,4,32,4,0,0
3.34,Lower-tier,STEM,West,0,1,3,Medium,Indeed,10,151,5,2,0
3.35,Lower-tier,STEM,Northeast,2,4,3,Medium,Indeed,2,20,0,0,0
3.09,Lower-tier,STEM,South,1,1,5,Medium,Indeed,3,66,0,0,0
3.09,Mid-tier,Humanities,South,2,1,5,Medium,LinkedIn,9,87,3,2,1
3.09,Mid-tier,Business,South,0,1,5,Medium,Handshake,8,5,0,0,0
2.87,Lower-tier,STEM,Midwest,0,3,5,Medium,Indeed,3,15,0,0,0
3.49,Mid-tier,Business,South,1,1,1,Medium,Indeed,9,156,8,8,1
3.32,Lower-tier,STEM,Northeast,0,1,2,Large,Indeed,10,136,1,1,0
3.24,Lower-tier,Business,West,2,3,1,Medium,Indeed,1,10,2,2,1
3.45,Lower-tier,Business,West,0,1,4,Medium,Handshake,5,10,2,2,0
3.07,Mid-tier,STEM,Midwest,0,2,4,Medium,Handshake,8,38,3,0,0
3.17,Mid-tier,Business,South,3,2,4,Small,Indeed,7,122,3,0,0
3.62,Top-tier,Business,South,2,2,3,Large,LinkedIn,3,34,1,0,0
2.39,Mid-tier,Business,South,0,2,4,Medium,LinkedIn,4,49,3,1,0
2.64,Top-tier,STEM,South,2,1,3,Small,LinkedIn,7,29,2,1,1
3.55,Mid-tier,STEM,South,2,3,3,Large,LinkedIn,2,7,2,1,1
3.32,Mid-tier,Business,Midwest,1,4,4,Small,LinkedIn,12,38,3,0,0
2.7,Mid-tier,Healthcare,South,2,3,8,Medium,Handshake,3,6,2,1,0
3.66,Mid-tier,Healthcare,South,0,3,4,Large,LinkedIn,10,106,2,2,1
3.56,Top-tier,Arts,West,1,0,2,Large,LinkedIn,2,30,3,0,0
3.25,Top-tier,STEM,South,2,2,5,Medium,Handshake,1,5,1,0,0
2.73,Lower-tier,Humanities,Midwest,3,1,4,Medium,LinkedIn,12,48,2,2,1
3.48,Mid-tier,Business,West,0,2,0,Medium,Handshake,2,16,2,1,1
3.16,Top-tier,Healthcare,Northeast,3,1,1,Small,Handshake,3,5,2,1,1
3.37,Mid-tier,Arts,Northeast,1,1,2,Medium,LinkedIn,7,50,2,0,0
2.79,Lower-tier,Business,South,0,5,5,Large,Indeed,11,146,2,1,0
2.94,Mid-tier,STEM,West,0,1,3,Small,Handshake,3,22,5,3,0
2.44,Mid-tier,STEM,West,2,1,0,Medium,Handshake,11,66,3,1,0
3.07,Top-tier,Healthcare,Midwest,0,0,4,Large,LinkedIn,9,96,3,0,0
3.42,Top-tier,Healthcare,Northeast,2,2,4,Medium,LinkedIn,2,16,2,2,1
2.49,Mid-tier,Humanities,Midwest,0,4,0,Large,Indeed,2,23,2,1,1
2.66,Mid-tier,STEM,West,0,3,6,Large,Handshake,2,5,0,0,0
2.79,Mid-tier,STEM,South,2,5,2,Medium,Handshake,8,82,4,2,1
3.35,Lower-tier,Humanities,West,0,0,1,Large,Handshake,9,57,8,1,0
2.95,Lower-tier,Business,West,0,7,1,Large,Handshake,10,35,2,1,1
3.45,Mid-tier,STEM,South,0,3,4,Large,Handshake,11,44,2,0,0
3.03,Mid-tier,STEM,Northeast,2,2,2,Medium,Handshake,3,5,2,1,1
3.55,Lower-tier,Business,Midwest,3,4,2,Large,Indeed,8,78,1,1,0
3.16,Mid-tier,Business,Northeast,0,1,1,Large,Indeed,3,27,1,0,0
2.59,Mid-tier,Business,Midwest,0,3,4,Medium,LinkedIn,3,19,1,0,0
2.41,Top-tier,Humanities,Midwest,4,1,4,Large,Handshake,7,10,2,2,0
3.03,Top-tier,STEM,Midwest,0,4,1,Large,Handshake,7,47,2,1,0
4.0,Lower-tier,Arts,South,0,3,3,Large,Indeed,10,118,1,0,0
3.33,Lower-tier,STEM,Northeast,1,3,2,Large,Indeed,9,96,4,1,1
